"COLUNA"	"DEFINICAO"
"FOL_FORINDREDOUEST"	"Forma índice (redondas ou estreitas). (Largura da lâmina divido pela comprimento da folha, mais próximo de 1 para folhas mais redondas e próximo de 0 para folhas muito estreitas e longas). Variavel Quantitativo. Unidade de medida padrao número."
"FOL_FORINDREDOUEST_UNIT"	"Unidade da medicao da variavel FOL_FORINDREDOUEST"
"FOL_BASDALAM"	"Base da lâmina. (Tipo da base da lâmina. As formas do quarto mais basal da lâmina). Variavel Categoria."
"FOL_APIDALAM"	"Ápice da lâmina. (Forma do ápice da lâmina. Aplica-se a 25%  do comprimento da lâmina na parte apical (distal)). Variavel Categoria."
"FOL_TEX"	"Textura. (Textura da folha). Variavel Categoria."
"FOL_COMTOT"	"Comprimento total. (Comprimento da folha incluindo o pecíolo). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_COMTOT_UNIT"	"Unidade da medicao da variavel FOL_COMTOT"
"FOL_LARDALAM"	"Largura da lâmina. (Largura máxima da lâmina). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_LARDALAM_UNIT"	"Unidade da medicao da variavel FOL_LARDALAM"
"IND_LAMABATIP"	"Lâmina abaxial Tipo. (Tipo de tricomas). Variavel Categoria."
"IND_LAMABATAM"	"Lâmina abaxial Tamanho. (Tamanho relativo do indumento). Variavel Categoria."
"IND_LAMABADEN"	"Lâmina abaxial Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"FOL_MARDALAM"	"Margem da lâmina. (Margem da lâmina foliar em relação à lâmina). Variavel Categoria."
"FOL_LARREVDAMAR"	"Largura revoluta da margem. (Medida da parte da margem da folha que é revoluta, medida na parte central da lâmina). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_LARREVDAMAR_UNIT"	"Unidade da medicao da variavel FOL_LARREVDAMAR"
"FOL_NUMDEACA"	"Número de ácaro-domáceas. (Número de ácaro-domáceas nas axilas das veias secundárias em um lado da lâmina). Variavel Quantitativo. Unidade de medida padrao número."
"FOL_NUMDEACA_UNIT"	"Unidade da medicao da variavel FOL_NUMDEACA"
"FOL_DENDOINDNANERCENABA"	"Densidade do indumento na nervura central abaxial. (Densidade do indumento na nervura central abaxial). Variavel Categoria."
"FOL_TAMDOINDNANERCENABA"	"Tamanho do indumento na nervura central abaxial. (Tamanho do indumento na nervura central abaxial). Variavel Categoria."
"VEN_NERSEC"	"Nervação secundária. (Tipo de nervação secundária). Variavel Categoria."
"VEN_NUMDENERSEC"	"Número de nervuras secundárias. (Número de pares de nervuras secundárias por folha). Variavel Quantitativo. Unidade de medida padrao pares."
"VEN_NUMDENERSEC_UNIT"	"Unidade da medicao da variavel VEN_NUMDENERSEC"
"FOL_INDDASNERSECNAFACABA"	"Indumento das nervuras secundárias na face abaxial. (Indumento das nervuras secundárias na face abaxial). Variavel Categoria."
"FOL_INDDASNERSECNAFACADA"	"Indumento das nervuras secundárias na face adaxial. (Indumento das nervuras secundárias na face adaxial). Variavel Categoria."
"FLO_SEX"	"Sexo. (Sexo da flor). Variavel Categoria."
"INF_TIP"	"Tipo. (Tipo de inflorescência). Variavel Categoria."
"INF_BRA"	"Brácteas. (Presença de brácteas na inflorescência). Variavel Categoria."
"INF_COMDOPED"	"Comprimento do pedúnculo. (Comprimento do pedúnculo). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMDOPED_UNIT"	"Unidade da medicao da variavel INF_COMDOPED"
"INF_LARDOPED"	"Largura do pedúnculo. (Largura do pedúnculo na base). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_LARDOPED_UNIT"	"Unidade da medicao da variavel INF_LARDOPED"
"INF_TIPDOINDNOPED"	"Tipo do indumento no pedúnculo. (Tipo do indumento no pedúnculo). Variavel Categoria."
"INF_DENDOINDNOPED"	"Densidade do indumento no pedúnculo. (Densidade do indumento no pedúnculo). Variavel Categoria."
"INF_COMTOT"	"Comprimento total. (Comprimento total do eixo principal da inflorescência, incluindo o pedúnculo). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMTOT_UNIT"	"Unidade da medicao da variavel INF_COMTOT"
"INF_NUMDENOS"	"Número de nós. (Número de nós individualizados no eixo principal da inflorescencia, acima do pedúnculo). Variavel Quantitativo. Unidade de medida padrao número."
"INF_NUMDENOS_UNIT"	"Unidade da medicao da variavel INF_NUMDENOS"
"INF_COMDAPRIRAM"	"Comprimento da primeira ramificação. (Comprimento da primeira ramificação acima do pedúnculo da inflorescência). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMDAPRIRAM_UNIT"	"Unidade da medicao da variavel INF_COMDAPRIRAM"
"INF_NUMDENOSDOPRIRAMLAT"	"Número de nós do primeiro ramo lateral. (Número de nós do primeiro ramo lateral). Variavel Quantitativo. Unidade de medida padrao número."
"INF_NUMDENOSDOPRIRAMLAT_UNIT"	"Unidade da medicao da variavel INF_NUMDENOSDOPRIRAMLAT"
"INF_NUMDEFLO"	"Número de flores. (Número de flores). Variavel Quantitativo. Unidade de medida padrao número."
"INF_NUMDEFLO_UNIT"	"Unidade da medicao da variavel INF_NUMDEFLO"
"IND_CALDEN"	"Cálice Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"CAL_COM"	"Comprimento. (Comprimento total do cálice, da base até o ápice dos lobos (quando for o caso)). Variavel Quantitativo. Unidade de medida padrao mm."
"CAL_COM_UNIT"	"Unidade da medicao da variavel CAL_COM"
"CAL_COMDOSLOB"	"Comprimento dos lobos. (Comprimento dos lobos do cálice). Variavel Quantitativo. Unidade de medida padrao mm."
"CAL_COMDOSLOB_UNIT"	"Unidade da medicao da variavel CAL_COMDOSLOB"
"COR_PELNAPARINTDASPET"	"Pêlos na parte interna das pétalas. (Tipo do indumento da corola na parte interna). Variavel Categoria."
"COR_COMDOTUB"	"Comprimento do tubo. (Da base da corola até o ponto de divisão dos lobos). Variavel Quantitativo. Unidade de medida padrao mm."
"COR_COMDOTUB_UNIT"	"Unidade da medicao da variavel COR_COMDOTUB"
"COR_COMDOLOB"	"Comprimento do lobo. (Comprimento do lobo da corola). Variavel Quantitativo. Unidade de medida padrao mm."
"COR_COMDOLOB_UNIT"	"Unidade da medicao da variavel COR_COMDOLOB"
"COR_NUMDELOB"	"Número de lobos. (Número de lobos da corola). Variavel Quantitativo. Unidade de medida padrao número."
"COR_NUMDELOB_UNIT"	"Unidade da medicao da variavel COR_NUMDELOB"
"GIN_TIPDOINDDOOVA"	"Tipo do indumento do ovário. (Tipo do indumento do ovário). Variavel Categoria."
"GIN_DENDOINDDOOVA"	"Densidade do indumento do ovário. (Densidade do indumento do ovário). Variavel Categoria."
"GIN_COMDOOVA"	"Comprimento do ovário. (Mensurada como a parte mais longa do ovário (vertical, longitudinal)). Variavel Quantitativo. Unidade de medida padrao mm."
"GIN_COMDOOVA_UNIT"	"Unidade da medicao da variavel GIN_COMDOOVA"
"GIN_COMDOEST"	"Comprimento do estilete. (Comprimento do estilete). Variavel Quantitativo. Unidade de medida padrao mm."
"GIN_COMDOEST_UNIT"	"Unidade da medicao da variavel GIN_COMDOEST"
"GIN_COMDOEST"	"Comprimento do estigma. (Comprimento do estigma). Variavel Quantitativo. Unidade de medida padrao mm."
"GIN_COMDOEST_UNIT"	"Unidade da medicao da variavel GIN_COMDOEST"
"AND_ALTDOEST"	"Altura do estame. (Altura desde a base da corola até a ponta da antera). Variavel Quantitativo. Unidade de medida padrao mm."
"AND_ALTDOEST_UNIT"	"Unidade da medicao da variavel AND_ALTDOEST"
"AND_COMDAANT"	"Comprimento da antera. (Comprimento da antera). Variavel Quantitativo. Unidade de medida padrao mm."
"AND_COMDAANT_UNIT"	"Unidade da medicao da variavel AND_COMDAANT"
"FRU_COMBAG"	"Comprimento baga. (Maior dimensão da baga). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_COMBAG_UNIT"	"Unidade da medicao da variavel FRU_COMBAG"
"FRU_DIADABAG"	"Diâmetro da baga. (Menor dimensão). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_DIADABAG_UNIT"	"Unidade da medicao da variavel FRU_DIADABAG"
"FRU_COMDACUP"	"Comprimento da cúpula. (Comprimento da maior dimensão da cúpula dos frutos). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_COMDACUP_UNIT"	"Unidade da medicao da variavel FRU_COMDACUP"
"FRU_DIADACUP"	"Diâmetro da cúpula. (Diâmetro da cúpula dos frutos). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_DIADACUP_UNIT"	"Unidade da medicao da variavel FRU_DIADACUP"
"FRU_INDDACUP"	"Indumento da cúpula. (Tipo e densidade do indumento na parte externa da cúpula dos frutos). Variavel Categoria."
"FRU_CUPCOMLOB"	"Cúpula com lobos. (Persistência dos lobos do cálice na cúpula). Variavel Categoria."
