"COLUNA"	"DEFINICAO"
"INF_NUMDEFLO"	"Número de flores. (Número de flores). Variavel Quantitativo. Unidade de medida padrao número."
"INF_NUMDEFLO_UNIT"	"Unidade da medicao da variavel INF_NUMDEFLO"
"VEN_NUMDENERSEC"	"Número de nervuras secundárias. (Número de pares de nervuras secundárias por folha). Variavel Quantitativo. Unidade de medida padrao pares."
"VEN_NUMDENERSEC_UNIT"	"Unidade da medicao da variavel VEN_NUMDENERSEC"
"VEN_NERSEC"	"Nervação secundária. (Tipo de nervação secundária). Variavel Categoria."
"VEN_TER"	"Terciárias. (Visibilidade das veias terciárias). Variavel Categoria."
"FOL_INDDASNERSECNAFACABA"	"Indumento das nervuras secundárias na face abaxial. (Indumento das nervuras secundárias na face abaxial). Variavel Categoria."
"FOL_INDDASNERSECNAFACADA"	"Indumento das nervuras secundárias na face adaxial. (Indumento das nervuras secundárias na face adaxial). Variavel Categoria."
"COL_NOTDECOLMOR"	"Notas de coleta morfológica. (Notas de coleta de dados morfológicos). Variavel Texto."
"AND_ALTDOEST"	"Altura do estame. (Altura desde a base da corola até a ponta da antera). Variavel Quantitativo. Unidade de medida padrao mm."
"AND_ALTDOEST_UNIT"	"Unidade da medicao da variavel AND_ALTDOEST"
"AND_COMDAANT"	"Comprimento da antera. (Comprimento da antera). Variavel Quantitativo. Unidade de medida padrao mm."
"AND_COMDAANT_UNIT"	"Unidade da medicao da variavel AND_COMDAANT"
"RAM_DIADORAMTER"	"Diâmetro do ramo terminal. (Diâmetro do ramo terminal medido no ponto abaixo da inserção da folhas agrupadas). Variavel Quantitativo. Unidade de medida padrao mm."
"RAM_DIADORAMTER_UNIT"	"Unidade da medicao da variavel RAM_DIADORAMTER"
"COR_PELNAPARINTDASPET"	"Pêlos na parte interna das pétalas. (Tipo do indumento da corola na parte interna). Variavel Categoria."
"COR_COMDOLOB"	"Comprimento do lobo. (Comprimento do lobo da corola). Variavel Quantitativo. Unidade de medida padrao mm."
"COR_COMDOLOB_UNIT"	"Unidade da medicao da variavel COR_COMDOLOB"
"COR_COMDOTUB"	"Comprimento do tubo. (Da base da corola até o ponto de divisão dos lobos). Variavel Quantitativo. Unidade de medida padrao mm."
"COR_COMDOTUB_UNIT"	"Unidade da medicao da variavel COR_COMDOTUB"
"COR_NUMDELOB"	"Número de lobos. (Número de lobos da corola). Variavel Quantitativo. Unidade de medida padrao número."
"COR_NUMDELOB_UNIT"	"Unidade da medicao da variavel COR_NUMDELOB"
"INF_LARDOPED"	"Largura do pedúnculo. (Largura do pedúnculo na base). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_LARDOPED_UNIT"	"Unidade da medicao da variavel INF_LARDOPED"
"FOL_APIDALAM"	"Ápice da lâmina. (Forma do ápice da lâmina. Aplica-se a 25%  do comprimento da lâmina na parte apical (distal)). Variavel Categoria."
"FOL_BASDALAM"	"Base da lâmina. (Tipo da base da lâmina. As formas do quarto mais basal da lâmina). Variavel Categoria."
"VEN_NERCENADA"	"Nervura central adaxial. (Nervura central adaxial em relação ao limbo). Variavel Categoria."
"VEN_NERCENABA"	"Nervura central abaxial. (Nervura central abaxial em relação ao limbo). Variavel Categoria."
"GIN_COMDOOVA"	"Comprimento do ovário. (Mensurada como a parte mais longa do ovário (vertical, longitudinal)). Variavel Quantitativo. Unidade de medida padrao mm."
"GIN_COMDOOVA_UNIT"	"Unidade da medicao da variavel GIN_COMDOOVA"
"FLO_SEX"	"Sexo. (Sexo da flor). Variavel Categoria."
"IND_ESTDEN"	"Estípula Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"EST_COM"	"Comprimento. (Comprimento da estípula da base até o ápice). Variavel Quantitativo. Unidade de medida padrao mm."
"EST_COM_UNIT"	"Unidade da medicao da variavel EST_COM"
"EST_DUR"	"Duração. (Permanencia da estípula no caule). Variavel Categoria."
"EST_LARNABAS"	"Largura na base. (Largura da estípula medida na base). Variavel Quantitativo. Unidade de medida padrao mm."
"EST_LARNABAS_UNIT"	"Unidade da medicao da variavel EST_LARNABAS"
"GIN_COMDOEST"	"Comprimento do estilete. (Comprimento do estilete). Variavel Quantitativo. Unidade de medida padrao mm."
"GIN_COMDOEST_UNIT"	"Unidade da medicao da variavel GIN_COMDOEST"
"GIN_COMDOEST"	"Comprimento do estigma. (Comprimento do estigma). Variavel Quantitativo. Unidade de medida padrao mm."
"GIN_COMDOEST_UNIT"	"Unidade da medicao da variavel GIN_COMDOEST"
"VEN_NERSECADA"	"Nervuras secundárias adaxial. (Posição das nervuras secundárias em relação à lâmina da folha na face adaxial). Variavel Categoria."
"VEN_NERSECABA"	"Nervuras secundárias abaxial. (Posição das nervuras secundárias em relação à lâmina da folha na face abaxial). Variavel Categoria."
"FRU_COMBAG"	"Comprimento baga. (Maior dimensão da baga). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_COMBAG_UNIT"	"Unidade da medicao da variavel FRU_COMBAG"
"FRU_DIADABAG"	"Diâmetro da baga. (Menor dimensão). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_DIADABAG_UNIT"	"Unidade da medicao da variavel FRU_DIADABAG"
"FRU_COMDACUP"	"Comprimento da cúpula. (Comprimento da maior dimensão da cúpula dos frutos). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_COMDACUP_UNIT"	"Unidade da medicao da variavel FRU_COMDACUP"
"FRU_DIADACUP"	"Diâmetro da cúpula. (Diâmetro da cúpula dos frutos). Variavel Quantitativo. Unidade de medida padrao mm."
"FRU_DIADACUP_UNIT"	"Unidade da medicao da variavel FRU_DIADACUP"
"HAB_DAP"	"DAP. (Diâmetro à altura do peito (1.3 m)). Variavel Quantitativo. Unidade de medida padrao cm."
"HAB_DAP_UNIT"	"Unidade da medicao da variavel HAB_DAP"
"FRU_INDDACUP"	"Indumento da cúpula. (Tipo e densidade do indumento na parte externa da cúpula dos frutos). Variavel Categoria."
"FRU_CUPCOMLOB"	"Cúpula com lobos. (Persistência dos lobos do cálice na cúpula). Variavel Categoria."
